Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,all-nba_1,all-nba_2,all-nba_3,all-defensive_1,all-defensive_2,all-rookie_1,all-rookie_2,all_star_game_rosters_1,all_star_game_rosters_2
2021,Jalen Brunson,PG,24,DAL,68,12,25.0,4.8,9.2,.523,1.2,2.9,.405,3.6,6.3,.578,.588,1.8,2.2,.795,0.4,3.0,3.4,3.5,0.5,0.0,1.2,1.6,12.6,0,0,0,0,0,0,0,0,0,0
2021,Elijah Bryant,SG,25,MIL,1,0,32.0,6.0,13.0,.462,1.0,5.0,.200,5.0,8.0,.625,.500,3.0,3.0,1.000,2.0,4.0,6.0,3.0,0.0,1.0,4.0,4.0,16.0,0,0,0,0,0,0,0,0,0,0
2021,Thomas Bryant,C,23,WAS,10,10,27.1,5.9,9.1,.648,0.9,2.1,.429,5.0,7.0,.714,.698,1.6,2.4,.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3,0,0,0,0,0,0,0,0,0,0
2021,Reggie Bullock,SF,29,NYK,65,64,30.0,3.8,8.6,.442,2.5,6.1,.410,1.3,2.5,.521,.587,0.8,0.8,.909,0.2,3.2,3.4,1.5,0.8,0.2,0.7,2.2,10.9,0,0,0,0,0,0,0,0,0,0
2021,Trey Burke,PG,28,DAL,62,1,14.7,2.4,5.7,.428,0.9,2.6,.354,1.5,3.0,.492,.510,0.8,0.9,.895,0.2,0.7,0.9,1.3,0.6,0.1,0.5,1.0,6.6,0,0,0,0,0,0,0,0,0,0
2021,Alec Burks,SG,29,NYK,49,5,25.6,4.3,10.2,.420,2.1,5.0,.415,2.2,5.2,.425,.522,2.1,2.4,.856,0.4,4.2,4.6,2.2,0.6,0.3,1.0,2.1,12.7,0,0,0,0,0,0,0,0,0,0
2021,Jimmy Butler,SF,31,MIA,52,52,33.6,7.0,14.2,.497,0.5,2.0,.245,6.6,12.2,.538,.514,6.9,8.0,.863,1.8,5.1,6.9,7.1,2.1,0.3,2.1,1.4,21.5,0,0,1,0,1,0,0,0,0,3
2021,Bruno Caboclo,PF,25,HOU,6,0,6.0,1.3,2.8,.471,0.0,0.8,.000,1.3,2.0,.667,.471,0.2,0.3,.500,0.5,1.8,2.3,0.2,0.0,0.3,0.7,1.0,2.8,0,0,0,0,0,0,0,0,0,0
2021,Devontae Cacok,PF,24,LAL,20,1,4.9,0.9,1.5,.586,0.0,0.0,,0.9,1.5,.586,.586,0.3,0.6,.455,0.6,1.0,1.6,0.1,0.3,0.2,0.3,0.4,2.0,0,0,0,0,0,0,0,0,0,0
2021,Kentavious Caldwell-Pope,SG,27,LAL,67,67,28.4,3.3,7.6,.431,1.8,4.4,.410,1.5,3.2,.460,.549,1.4,1.7,.866,0.4,2.3,2.7,1.9,0.9,0.4,1.0,1.7,9.7,0,0,0,0,0,0,0,0,0,0
2021,Facundo Campazzo,PG,29,DEN,65,19,21.9,1.8,4.8,.381,1.2,3.3,.352,0.7,1.5,.444,.502,1.2,1.4,.879,0.3,1.7,2.1,3.6,1.2,0.2,1.1,2.0,6.1,0,0,0,0,0,0,0,0,0,0
